Year,Lower Bound,Single,Married Filing Seperately,Married Filing Jointly,Head of Household
1960,1408715.3583617748,,,0.84,
1960,1584804.7781569965,,,0.87,
1960,1760894.1979522184,0.91,0.91,0.89,0.9
1960,2641341.2969283275,,,0.9,0.91
1960,3521788.3959044367,,,0.91,
1961,0.0,0.2,0.2,0.2,0.2
1961,17313.489932885906,0.22,0.22,,0.21
1961,34626.97986577181,0.26,0.26,0.22,0.24
1961,51940.469798657716,0.3,0.3,,0.26
1961,69253.95973154363,0.34,0.34,0.26,0.3
1961,86567.44966442953,0.38,0.38,,0.32
1961,103880.93959731543,0.43,0.43,0.3,0.36
1961,121194.42953020133,0.47,0.47,,0.39
1961,138507.91946308725,0.5,0.5,0.34,0.42
1961,155821.40939597314,0.53,0.53,,0.43
1961,173134.89932885906,0.56,0.56,0.38,0.47
1961,190448.38926174497,0.59,0.59,,0.49
1961,207761.87919463086,,,0.43,0.52
1961,225075.36912751678,0.62,0.62,,
1961,242388.85906040267,,,0.47,0.54
1961,277015.8389261745,0.65,0.65,0.5,0.58
1961,311642.8187919463,,,0.53,
1961,328956.3087248322,0.6900000000000001,0.6900000000000001,,0.62
1961,346269.7986577181,,,0.56,
1961,380896.77852348995,0.72,0.72,0.59,0.66
1961,432837.24832214764,0.75,0.75,,0.68
1961,450150.73825503356,,,0.62,
1961,519404.6979865772,0.78,0.78,,0.71
1961,554031.677852349,,,0.65,
1961,605972.1476510067,0.81,0.81,,0.74
1961,657912.6174496644,,,0.6900000000000001,
1961,692539.5973154362,0.84,0.84,,0.76
1961,761793.5570469799,,,0.72,
1961,779107.0469798658,0.87,0.87,,0.8
1961,865674.4966442953,0.89,0.89,0.75,0.8300000000000001
1961,1038809.3959731543,,,0.78,
1961,1211944.2953020134,,,0.81,
1961,1298511.744966443,0.9,0.9,,0.87
1961,1385079.1946308725,,,0.84,
1961,1558214.0939597315,,,0.87,
1961,1731348.9932885906,0.91,0.91,0.89,0.9
1961,2597023.489932886,,,0.9,0.91
1961,3462697.986577181,,,0.91,
1962,0.0,0.2,0.2,0.2,0.2
